,bbl,eui
852,1014147503,26.1
853,1014367503,40.7
854,1015080130,76.3
855,1015790005,13.8
856,1020260033,49.5
857,1020750049,88.0
858,1020750053,13.6
859,2023700049,85.0
860,2026690044,69.2
861,2026880048,79.6
862,2027080046,93.0
863,2027200069,111.5
864,2027230029,57.6
865,2027510012,99.1
866,2027570014,97.3
867,2027580029,86.3
868,2027910054,108.4
869,2028020037,83.6
870,2028140073,37.0
871,2028260048,81.3
872,2028770254,75.6
873,2031440023,127.5
874,2031810045,99.1
875,2031840066,122.3
876,2031860076,72.7
877,2032830025,91.6
878,2032830040,68.2
879,2038010043,84.0
880,3019090011,81.4
881,3033300019,87.5
882,3042950063,94.1
883,4093050002,37.3
884,4158900030,96.9
885,4006127501,74.6
886,3056070003,135.4
887,1022470029,77.6
888,3014240033,104.0
889,4014550055,95.1
890,2031570020,104.5
891,3051610006,83.2
892,3014280032,94.7
893,3012070021,135.5
894,3076020022,107.2
895,3052120019,96.4
896,1021290037,114.3
897,1021160052,72.4
898,3067030073,92.2
899,3050730019,104.0
900,1020740049,91.7
901,3052080052,91.8
902,1021740115,92.0
903,4088650009,84.6
904,1020620037,169.0
905,3011900009,93.4
906,1008620009,77.5
907,2031460023,130.8
908,3012667502,95.8
909,1022420029,20.3
910,1010860034,141.7
911,3049970006,115.1
912,1022270015,96.6
913,3012750054,101.0
914,4050050001,93.2
915,3000560002,51.6
916,1020937501,79.1
917,1020947502,12.3
918,4050050006,100.7
919,1020997501,97.2
920,3012730025,243.7
921,3050730014,101.1
922,3014010047,89.4
923,1021310029,21.6
924,1020907501,93.0
925,4007260001,17.7
926,4097100094,89.2
927,1015700024,138.7
928,1013320010,24.6
929,3030080031,19.8
930,3079550017,15.7
931,1006357501,74.1
932,3002370017,91.4
933,3002540001,84.6
934,3009457501,62.5
935,3010810005,76.7
936,3011007501,97.4
937,1002287503,75.3
938,3002117502,53.5
939,1015110065,50.2
940,1006957509,54.3
941,1006080053,84.8
942,1013810056,81.5
943,1005060016,81.0
944,1011630011,62.1
945,1015520041,81.6
946,1014680009,73.1
947,1005947510,81.6
948,3020030008,64.4
949,1022180025,74.2
950,4031800041,70.9
951,1021190012,96.9
952,1020750014,93.7
953,1022200023,35.2
954,1022340036,112.0
955,3076120011,71.0
956,1021740224,15.9
957,1021440025,125.5
958,1012127502,24.7
959,1010510029,92.7
960,1009010002,48.6
961,1005020025,3.6
962,1008530001,97.2
963,3002710047,72.9
964,2023820048,108.5
965,3088150101,154.7
966,2030930032,192.3
967,3033670056,113.9
968,2028140017,97.1
969,4017790006,107.6
970,3075980053,92.0
971,3076000006,103.9
972,3056370006,136.6
973,3018920061,55.4
974,4022340031,79.6
975,3051210034,89.8
976,3021020008,67.2
977,3076890056,86.6
978,3012540057,96.8
979,4032370030,90.6
980,1022240001,66.7
981,1014090042,85.1
982,2033180081,117.7
983,1013817501,66.6
984,1009110001,176.3
985,1013100022,435.8
986,1021750192,95.2
987,2059067501,52.5
988,1021660023,94.3
989,1021300008,110.7
990,1022380042,139.7
991,4060770007,88.5
992,1021530040,22.2
993,3016820045,199.4
994,3016830089,170.4
995,3016830088,104.8
996,3016830086,94.8
997,1020347501,54.8
998,4008817501,92.4
999,1004520054,90.0
1000,1003947506,82.9
1001,4033410030,62.5
1002,1005920040,122.8
1003,3020040050,193.2
1004,3019570017,125.2
1005,1018770022,87.6
1006,1020860036,140.2
1007,1020880091,96.9
1008,1020880098,110.9
1009,1021200008,111.7
1010,1021690039,98.6
1011,1020760001,24.9
1012,1021370026,24.1
1013,1008580003,36.9
1014,1008270027,51.4
1015,1021540001,68.2
1017,1017550041,30.0
1018,3076110073,91.0
1019,3050860041,63.9
1020,3050860053,74.2
1021,3075590051,87.7
1022,3075590059,63.7
1023,3046980018,66.8
1024,1021190005,50.3
1025,3001490026,8.6
1026,3046780026,51.1
1027,2033720025,93.6
1028,2033190101,46.1
1029,2033050023,35.3
1030,2058011060,66.9
1031,2033820054,2.7
1032,2042090025,127.7
1033,4094600001,77.7
1034,4050230030,89.4
1035,3012350061,71.6
1036,2040750031,100.3
1037,2042380011,85.0
1038,4104610086,79.4
1039,1008767501,53.6
1040,1005740015,85.6
1041,3067400085,57.5
1042,1010610016,88.4
1043,2042870050,103.3
1044,4032930045,59.7
1045,2039480047,85.5
1046,2032250034,104.7
1047,4001570009,63.6
1048,2033140062,77.7
1049,2033200021,70.3
1050,2048190026,70.8
1051,2049950074,96.5
1052,1018400035,14.5
1053,1022250016,103.2
1054,3053740017,70.5
1055,3058580030,81.2
1056,3050950001,89.4
1057,4098380089,112.6
1058,1018230058,23.5
1059,1018230061,65.9
1060,1018640023,112.6
1061,2025050011,102.5
1062,4157370001,22.7
1063,2023727501,25.7
1064,3017520035,429.5
1065,3017530004,76.6
1066,3015950066,77.7
1067,3013990034,110.2
1068,3035110065,73.5
1069,3035110068,184.3
1070,3035110065,13.6
1071,3035330031,77.3
1072,3035330037,245.0
1073,3035330040,12.5
1074,2026230001,80.2
1075,3013050029,94.7
1076,3012150001,97.0
1077,3012300025,52.9
1078,3062417502,44.9
1079,2032670110,63.4
1080,4092880082,70.0
1081,2044290035,97.3
1082,2026650061,85.7
1083,2026070049,51.7
1084,1002200027,58.5
1085,1010540001,61.1
1086,4038570257,44.6
1087,3056220043,71.6
1088,1016167501,27.4
1089,2031580048,21.5
1090,4051800043,57.5
1091,1020740040,70.9
1092,1021420112,68.1
1093,3054220034,45.5
1094,2028120003,127.8
1095,2045680034,136.8
1096,3056340006,96.5
1097,3065380038,118.3
1098,3060680022,90.4
1099,3001500006,10.7
1100,3068880006,75.1
1101,2027770196,79.5
1102,4066850001,73.5
1103,1020830055,61.0
1104,4005960030,36.7
1105,3022250050,49.8
1106,4051950018,96.1
1107,4016310041,91.7
1108,4012160083,75.6
1109,1002140001,41.2
1110,3020920026,33.8
1111,2029980145,103.3
1112,1007730024,41.1
1113,3053900053,86.9
1114,3057070036,110.4
1115,3068610006,104.3
1116,3019780025,79.2
1117,2029600053,89.8
1118,4161767501,2.2
1119,3021830024,57.4
1120,1019820059,86.2
1121,1014430017,52.5
1122,4101560022,57.4
1123,3087760007,114.0
1124,1005010012,41.3
1125,3011760015,40.3
1126,4112840051,74.9
1127,1004417503,62.6
1128,2057030203,68.8
1129,2033240113,15.5
1130,2032840001,88.6
1131,1008090001,94.8
1132,1005107501,85.2
1133,1020090033,62.4
1134,3067390019,74.5
1135,4001590001,66.9
1136,3008890001,47.2
1137,3023570025,4.7
1138,1016610010,74.8
1139,4006380025,30.1
1140,1006240031,61.8
1141,1013610049,143.7
1142,1013460023,133.3
1143,4005870029,15.6
1144,3050990068,77.1
1145,3019790003,76.5
1146,1021560095,88.6
1147,4006510001,65.4
1148,1011027501,84.8
1149,3055450059,89.1
1150,1020460024,73.9
1158,4002660003,49.9
1159,2024560023,93.1
1160,2024560055,134.6
1161,2032190212,61.7
1162,2026620023,64.1
1163,2024560171,82.6
1164,1021390289,111.2
1165,2028400088,87.3
1166,2032250052,73.6
1167,2029370001,54.4
1168,1020450083,118.2
1169,2040680001,64.0
1170,2039230009,121.4
1171,2028660004,128.1
1172,2028700061,65.9
1173,1021740085,129.4
1174,2027940009,79.2
1175,2038010036,101.2
1176,2028410014,93.9
1177,2031960058,115.0
1178,2032250026,19.1
1179,3054240080,85.1
1180,2033170036,15.3
1181,2033090084,86.9
1182,2033180030,77.1
1183,2033210067,144.4
1184,2033560178,70.4
1185,2032790034,14.6
1186,2032790035,132.9
1187,4004540001,69.6
1188,2023800048,116.9
1189,1021270058,84.4
1190,1020780011,133.3
1191,1021220062,107.3
1192,2026140056,104.4
1193,2029370025,21.2
1194,1021760128,98.8
1195,2027630144,70.3
1196,2031120025,114.3
1197,2031120030,120.0
1198,3067460015,57.0
1199,3066030050,87.3
1200,3086910065,74.7
1201,3050610030,193.2
1202,3057060005,71.5
1203,3011580023,94.0
1204,3046270001,90.5
1205,3013320007,111.7
1206,3053600048,81.3
1207,3050260339,83.7
1208,3064140006,74.4
1209,3046940061,87.0
1210,3058620028,113.9
1211,3054040006,92.1
1212,3054770002,100.3
1213,3011070021,94.5
1214,4002660003,50.0
1215,1009930011,52.4
1216,2043190025,77.4
1217,1005210037,95.0
1218,2032930126,96.7
1219,1020980040,76.9
1220,1020890024,66.7
1221,4022640101,89.7
1222,3051310019,92.6
1223,2025130044,93.9
1224,1013447503,54.0
1225,2030230015,17.3
1226,2028420065,141.2
1227,1021230031,109.2
1228,1021280015,166.7
1229,1021280026,118.2
1230,2024560210,81.6
1231,2024560218,89.0
